Time,GN07N_MAIN_POWER,GN07N_SUB_POWER,GN07N_TEMP,GN07N_HIGH_TEMP,GN07N_MID_TEMP,GN07N_LOW_TEMP,GN07N_OVER_TEMP,GN07N_GAS_NRG,GN07N_GAS_AMM,GN07N_GAS_CDO,GN07N_PPIT,GN05N_MAIN_POWER,GN05M_MAIN_POWER,GN05M_TEMP,GN05M_HIGH_TEMP,GN05M_LOW_TEMP,GN05M_OVER_TEMP,GN05M_GAS_NRG,GN05M_GAS_AMM,GN05M_GAS_CDO,GN04N_MAIN_POWER,GN04M_MAIN_POWER,GN04M_TEMP,GN04M_HIGH_TEMP,GN04M_MID_TEMP,GN04M_LOW_TEMP,GN04M_OVER_TEMP,GN04M_GAS_NRG,GN04M_GAS_AMM,GN04M_GAS_CDO,GN03N_MAIN_POWER,GN02N_MAIN_POWER,GN02N_TEMP,GN02N_HIGH_TEMP,GN02N_MID_TEMP,GN02N_LOW_TEMP,GN02N_OVER_TEMP,GN02N_GAS_NRG,GN02N_GAS_AMM,GN02N_GAS_CDO,GN02N_PPIT
2022-01-02_10:00:01,9593.13,295,19.9,490,491,491,498,0,73.7,0,1,1436.21,159,0,519,520,529,0,77.6,0,8387.08,0,0,40,41,40,37,0,0,0,7.3,159,0,519,521,520,529,0,77.6,0,2
2022-01-02_10:00:02,9577.93,296,19.7,490,491,491,498,0,73.8,0,1,138.16,160,0,519,520,529,0,77.6,0,7791.88,0,0,40,41,40,37,0,0,0,7.4,160,0,519,521,520,529,0,77.6,0,2
2022-01-02_10:00:03,9603.78,298,19.6,490,491,491,499,0,73.7,0,1,139.81,161,0,519,519,529,0,77.8,0,8715.55,0,0,40,41,41,37,0,0,0,7.2,161,0,519,521,519,529,0,77.8,0,2
2022-01-02_10:00:04,9577.73,297,19.5,490,491,491,499,0,73.7,0,1,137.59,160,0,519,519,529,0,77.6,0,10680.3,0,0,40,41,41,37,0,0,0,6.7,160,0,519,521,519,529,0,77.6,0,2
2022-01-02_10:00:05,9596.25,297,19.8,490,491,491,499,0,73.7,0,1,138.73,161,0,519,519,529,0,77.7,0,9998.42,0,0,40,41,40,37,0,0,0,6.8,161,0,519,521,519,529,0,77.7,0,2
2022-01-02_10:00:06,9633.81,298,19.8,490,491,491,499,0,73.7,0,1,137.95,159,0,519,519,529,0,77.7,0,8174.93,0,0,40,41,40,37,0,0,0,7.5,159,0,519,521,519,529,0,77.7,0,2
2022-01-02_10:00:07,9637.82,298,19.6,490,491,491,499,0,73.7,0,1,136.59,158,0,519,519,529,0,77.7,0,7790.24,0,0,40,41,40,37,0,0,0,6.6,158,0,519,521,519,529,0,77.7,0,2
2022-01-02_10:00:08,9603.55,300,19.9,490,491,491,499,0,73.7,0,1,135.12,162,0,519,519,529,0,77.7,0,9001.11,0,0,40,41,40,37,0,0,0,6.7,162,0,519,521,519,529,0,77.7,0,2
2022-01-02_10:00:10,9621.64,297,19.6,490,491,491,499,0,73.7,0,1,138.37,161,0,519,519,529,0,77.6,0,10484,0,0,40,41,41,37,0,0,0,6.6,161,0,519,521,519,529,0,77.6,0,2
2022-01-02_10:00:10,9592.42,295,19.9,490,491,491,499,0,73.7,0,1,138.61,161,0,519,519,529,0,77.6,0,9191.09,0,0,40,41,41,37,0,0,0,6,161,0,519,521,519,529,0,77.6,0,2
2022-01-02_10:00:11,9623.72,292,19.8,490,491,491,499,0,73.7,0,1,139.21,163,0,519,519,529,0,77.5,0,11542.8,0,0,40,41,40,37,0,0,0,6.5,163,0,519,521,519,529,0,77.5,0,2
2022-01-02_10:00:12,9589.22,295,19.5,490,491,491,499,0,73.8,0,1,138.69,162,0,519,519,529,0,77.6,0,7686.59,0,0,40,41,40,37,0,0,0,6.1,162,0,519,521,519,529,0,77.6,0,2
2022-01-02_10:00:13,9593.28,295,20,490,491,491,499,0,73.7,0,1,137.6,161,0,519,519,529,0,77.5,0,9263.54,0,0,40,41,40,37,0,0,0,6.8,161,0,519,521,519,529,0,77.5,0,2
2022-01-02_10:00:14,9564.34,296,19.5,490,491,491,499,0,73.7,0,1,139.46,163,0,519,519,529,0,77.5,0,10406.8,0,0,40,41,40,37,0,0,0,6.8,163,0,519,521,519,529,0,77.5,0,2
2022-01-02_10:00:15,9618.14,298,19.9,490,491,491,499,0,73.8,0,1,139.44,162,0,519,519,529,0,77.6,0,11594.8,0,0,40,41,40,37,0,0,0,7,162,0,519,521,519,529,0,77.6,0,2
2022-01-02_10:00:16,9612.67,296,19.6,490,491,491,499,0,73.9,0,1,139.56,160,0,519,519,529,0,77.7,0,11512.8,0,0,40,41,40,37,0,0,0,6.5,160,0,519,521,519,529,0,77.7,0,2
2022-01-02_10:00:17,9604.02,292,19.8,490,491,491,499,0,73.6,0,1,139.63,161,0,519,519,529,0,77.5,0,8169.13,0,0,40,41,40,37,0,0,0,7.1,161,0,519,521,519,529,0,77.5,0,2
2022-01-02_10:00:18,9575.77,292,19.9,490,491,491,499,0,73.5,0,1,1634.91,160,0,519,519,529,0,77.5,0,10303.7,0,0,40,41,40,37,0,0,0,6.8,160,0,519,521,519,529,0,77.5,0,2
2022-01-02_10:00:19,9543.82,291,19.5,490,491,491,499,0,73.8,0,1,1835.57,159,0,519,519,529,0,77.5,0,10883.4,0,0,40,41,41,37,0,0,0,7.1,159,0,519,521,519,529,0,77.5,0,2
2022-01-02_10:00:20,9605.96,294,19.9,490,491,491,499,0,73.8,0,1,1834.21,159,0,519,519,529,0,77.5,0,9131.22,0,0,40,41,40,37,0,0,0,6.2,159,0,519,521,519,529,0,77.5,0,2
2022-01-02_10:00:21,9598.75,297,19.9,490,491,491,499,0,73.6,0,1,1842.92,159,0,519,519,529,0,77.6,0,8142.83,0,0,40,41,40,37,0,0,0,6.7,159,0,519,521,519,529,0,77.6,0,2
2022-01-02_10:00:22,9561.64,291,19.7,490,491,491,499,0,73.6,0,1,1836.63,157,0,519,519,529,0,77.6,0,8578.99,0,0,40,41,40,37,0,0,0,7.2,157,0,519,521,519,529,0,77.6,0,2
2022-01-02_10:00:23,9589.63,292,19.8,490,491,491,499,0,73.7,0,1,1834.63,156,0,519,519,529,0,77.6,0,10450.4,0,0,40,41,40,37,0,0,0,7.7,156,0,519,521,519,529,0,77.6,0,2
2022-01-02_10:00:24,9582,302,19.8,490,491,491,499,0,73.7,0,1,1827.37,157,0,519,519,529,0,77.7,0,10582.1,0,0,40,41,40,37,0,0,0,7.2,157,0,519,521,519,529,0,77.7,0,2
2022-01-02_10:00:25,9540.83,297,19.9,490,491,491,499,0,73.6,0,1,1830.59,158,0,519,520,529,0,77.6,0,10455.2,0,0,40,41,40,37,0,0,0,5.5,158,0,519,521,520,529,0,77.6,0,2
2022-01-02_10:00:26,9525.3,290,19.7,490,491,491,499,0,73.6,0,1,1830.22,157,0,519,519,529,0,77.6,0,9889.45,0,0,40,41,40,37,0,0,0,7.5,157,0,519,521,519,529,0,77.6,0,2
2022-01-02_10:00:27,9564.99,297,19.8,490,491,491,499,0,73.4,0,1,1827.71,158,0,519,519,529,0,77.5,0,8570.34,0,0,40,41,40,37,0,0,0,6.6,158,0,519,521,519,529,0,77.5,0,2
2022-01-02_10:00:28,9568.04,298,19.6,490,491,491,499,0,73.5,0,1,1823.46,157,0,519,519,529,0,77.6,0,10402.1,0,0,40,41,40,37,0,0,0,6.7,157,0,519,521,519,529,0,77.6,0,2
2022-01-02_10:00:29,9558.43,295,19.9,490,491,491,499,0,73.5,0,1,1828.47,155,0,519,520,529,0,77.6,0,10360.2,0,0,40,41,40,37,0,0,0,6,155,0,519,521,520,529,0,77.6,0,2
2022-01-02_10:00:30,9533.22,298,19.6,490,491,491,499,0,73.4,0,1,1823.48,157,0,519,519,529,0,77.6,0,12344.6,0,0,40,41,40,37,0,0,0,6.5,157,0,519,521,519,529,0,77.6,0,2
2022-01-02_10:00:31,9542.47,297,19.9,490,491,491,499,0,73.5,0,1,1821.07,160,0,519,519,529,0,77.6,0,9772.78,0,0,40,41,40,37,0,0,0,6.3,160,0,519,521,519,529,0,77.6,0,2
